id,tokens,ner_tags
0,"[""From"", ""April"", ""19-24"", "","", ""2017"", "","", ""a"", ""politically-motivated"", "","", ""targeted"", ""campaign"", ""was"", ""carried"", ""out"", ""against"", ""numerous"", ""Israeli"", ""organizations"", "".""]","[84, 24, 25, 25, 26, 84, 84, 84, 84, 84, 84, 84, 84, 84, 84, 84, 23, 84, 84]"
1,"[""Morphisec"", ""researchers"", ""began"", ""investigating"", ""the"", ""attacks"", ""on"", ""April"", ""24"", ""and"", ""continue"", ""to"", ""uncover"", ""more"", ""details"", "".""]","[4, 6, 84, 84, 84, 84, 84, 24, 26, 84, 84, 84, 84, 84, 84, 84]"
2,"[""Initial"", ""reports"", ""of"", ""the"", ""attacks"", "","", ""published"", ""April"", ""26"", ""("", ""in"", ""Hebrew"", "")"", ""by"", ""the"", ""Israel"", ""National"", ""Cyber"", ""Event"", ""Readiness"", ""Team"", ""("", ""CERT-IL"", "")"", ""and"", ""The"", ""Marker"", "","", ""confirm"", ""that"", ""the"", ""attack"", ""was"", ""delivered"", ""through"", ""compromised"", ""email"", ""accounts"", ""at"", ""Ben-Gurion"", ""University"", ""and"", ""sent"", ""to"", ""multiple"", ""targets"", ""across"", ""Israel"", "".""]","[84, 84, 84, 84, 84, 84, 84, 24, 26, 84, 84, 23, 84, 84, 84, 4, 5, 5, 5, 5, 6, 84, 7, 84, 84, 84, 7, 84, 84, 84, 84, 84, 84, 84, 84, 84, 51, 84, 84, 8, 10, 84, 84, 84, 84, 84, 84, 23, 84]"
3,"[""Ironically"", "","", ""Ben-Gurion"", ""University"", ""is"", ""home"", ""to"", ""Israel"", ""\u2019s"", ""Cyber"", ""Security"", ""Research"", ""Center"", "".""]","[84, 84, 8, 10, 84, 84, 84, 4, 5, 5, 5, 5, 6, 84]"
4,"[""Investigators"", ""put"", ""the"", ""origin"", ""of"", ""the"", ""attack"", ""as"", ""Iranian"", "";"", ""Morphisec"", ""\u2019s"", ""research"", ""supports"", ""this"", ""conclusion"", ""and"", ""attributes"", ""the"", ""attacks"", ""to"", ""the"", ""same"", ""infamous"", ""hacker"", ""group"", ""responsible"", ""for"", ""the"", ""OilRig"", ""malware"", ""campaigns"", "".""]","[84, 84, 84, 84, 84, 84, 84, 84, 23, 84, 7, 84, 84, 84, 84, 84, 84, 84, 84, 84, 84, 84, 84, 84, 84, 84, 84, 84, 84, 67, 84, 84, 84]"
5,"[""The"", ""fileless"", ""attack"", ""was"", ""delivered"", ""via"", ""Microsoft"", ""Word"", ""documents"", ""that"", ""exploited"", ""a"", ""former"", ""zero-day"", ""vulnerability"", ""in"", ""Word"", "","", ""CVE-2017-0199"", "","", ""to"", ""install"", ""a"", ""fileless"", ""attack"", ""variant"", ""of"", ""the"", ""Helminth"", ""Trojan"", ""agent"", "".""]","[84, 0, 2, 84, 84, 84, 48, 50, 84, 84, 84, 84, 84, 75, 84, 84, 51, 84, 79, 84, 84, 84, 84, 84, 84, 84, 84, 84, 67, 67, 84, 84]"
6,"[""Microsoft"", ""released"", ""the"", ""patch"", ""for"", ""the"", ""vulnerability"", ""on"", ""April"", ""11"", "","", ""but"", ""many"", ""organizations"", ""have"", ""not"", ""yet"", ""deployed"", ""the"", ""update"", "".""]","[11, 84, 84, 84, 84, 84, 84, 84, 24, 26, 84, 84, 84, 84, 84, 84, 84, 84, 84, 84, 84]"
7,"[""The"", ""attackers"", ""actually"", ""based"", ""their"", ""attack"", ""on"", ""an"", ""existing"", ""Proof-of-Concept"", ""method"", ""that"", ""was"", ""published"", ""by"", ""researchers"", ""after"", ""the"", ""patch"", ""release"", "".""]","[84, 84, 84, 84, 84, 84, 84, 84, 84, 84, 84, 84, 84, 84, 84, 84, 84, 84, 84, 84, 84]"
8,"[""By"", ""hunting"", ""through"", ""known"", ""malware"", ""repositories"", "","", ""Morphisec"", ""identified"", ""matching"", ""samples"", ""uploaded"", ""by"", ""Israeli"", ""high-tech"", ""development"", ""companies"", "","", ""medical"", ""organizations"", ""and"", ""education"", ""organizations"", "","", ""indicating"", ""that"", ""they"", ""were"", ""victims"", ""of"", ""the"", ""attack"", "".""]","[84, 84, 84, 84, 84, 84, 84, 7, 84, 84, 84, 84, 84, 23, 84, 84, 84, 84, 8, 10, 84, 8, 10, 84, 84, 84, 84, 84, 84, 84, 84, 84, 84]"
9,"[""For"", ""security"", ""purposes"", "","", ""Morphisec"", ""is"", ""not"", ""revealing"", ""these"", ""names"", "".""]","[84, 84, 84, 84, 7, 84, 84, 84, 84, 84, 84]"
10,"[""Upon"", ""deeper"", ""investigation"", ""into"", ""the"", ""installed"", ""Helminth"", ""fileless"", ""agent"", "","", ""we"", ""identified"", ""a"", ""near"", ""perfect"", ""match"", ""to"", ""the"", ""OilRig"", ""campaign"", ""executed"", ""by"", ""an"", ""Iranian"", ""hacker"", ""group"", ""against"", ""140"", ""financial"", ""institutions"", ""in"", ""the"", ""Middle"", ""East"", ""last"", ""year"", "","", ""as"", ""analyzed"", ""by"", ""FireEye"", "","", ""Palo"", ""Alto"", ""Networks"", ""and"", ""Logrhythm"", "".""]","[84, 84, 84, 84, 84, 84, 67, 84, 84, 84, 84, 84, 84, 84, 84, 84, 84, 84, 67, 84, 84, 84, 84, 23, 84, 84, 84, 84, 84, 84, 84, 84, 20, 22, 84, 84, 84, 84, 84, 84, 7, 84, 4, 5, 6, 84, 7, 84]"
