id,tokens,ner_tags
0,"[""The"", ""admin@338"", ""has"", ""largely"", ""targeted"", ""organizations"", ""involved"", ""in"", ""financial"", "","", ""economic"", ""and"", ""trade"", ""policy"", "","", ""typically"", ""using"", ""publicly"", ""available"", ""RATs"", ""such"", ""as"", ""Poison"", ""Ivy"", "","", ""as"", ""well"", ""some"", ""non-public"", ""backdoors"", "".""]","[26, 0, 26, 26, 26, 26, 26, 26, 16, 26, 16, 26, 16, 17, 26, 26, 26, 8, 9, 9, 26, 26, 8, 9, 26, 26, 26, 26, 8, 9, 26]"
1,"[""The"", ""admin@338"", ""started"", ""targeting"", ""Hong"", ""Kong"", ""media"", ""companies"", "","", ""probably"", ""in"", ""response"", ""to"", ""political"", ""and"", ""economic"", ""challenges"", ""in"", ""Hong"", ""Kong"", ""and"", ""China"", "".""]","[26, 0, 26, 26, 14, 15, 18, 19, 26, 26, 26, 26, 26, 16, 26, 16, 26, 26, 14, 15, 26, 14, 26]"
2,"[""Multiple"", ""China-based"", ""cyber"", ""threat"", ""groups"", ""have"", ""targeted"", ""international"", ""media"", ""organizations"", ""in"", ""the"", ""past"", "".""]","[26, 14, 0, 1, 1, 26, 26, 18, 19, 19, 26, 26, 26, 26]"
3,"[""The"", ""admin@338"", ""has"", ""targeted"", ""international"", ""media"", ""organizations"", ""in"", ""the"", ""past"", "".""]","[26, 0, 26, 26, 18, 19, 19, 26, 26, 26, 26]"
4,"[""In"", ""August"", ""2015"", "","", ""the"", ""admin@338"", ""sent"", ""spear"", ""phishing"", ""emails"", ""to"", ""a"", ""number"", ""of"", ""Hong"", ""Kong-based"", ""media"", ""organizations"", "","", ""including"", ""newspapers"", "","", ""radio"", "","", ""and"", ""television"", "".""]","[26, 10, 11, 26, 26, 0, 26, 20, 21, 21, 26, 26, 26, 26, 26, 26, 18, 19, 26, 26, 26, 26, 26, 26, 26, 26, 26]"
5,"[""In"", ""August"", ""2015"", "","", ""the"", ""threat"", ""actors"", ""sent"", ""spear"", ""phishing"", ""emails"", ""to"", ""a"", ""number"", ""of"", ""Hong"", ""Kong-based"", ""media"", ""organizations"", "","", ""including"", ""newspapers"", "","", ""radio"", "","", ""and"", ""television"", "".""]","[26, 10, 11, 26, 26, 0, 1, 26, 20, 21, 21, 26, 26, 26, 26, 26, 26, 18, 19, 26, 26, 26, 26, 26, 26, 26, 26, 26]"
6,"[""In"", ""August"", ""2015"", "","", ""the"", ""admin@338"", ""sent"", ""spear"", ""phishing"", ""emails"", ""to"", ""a"", ""number"", ""of"", ""Hong"", ""Kong-based"", ""media"", ""organizations"", "".""]","[26, 10, 11, 26, 26, 0, 26, 20, 21, 21, 26, 26, 26, 26, 26, 26, 18, 19, 26]"
7,"[""The"", ""admin@338"", ""previous"", ""activities"", ""against"", ""financial"", ""and"", ""policy"", ""organizations"", ""have"", ""largely"", ""focused"", ""on"", ""spear"", ""phishing"", ""emails"", ""written"", ""in"", ""English"", "","", ""destined"", ""for"", ""Western"", ""audiences"", "".""]","[26, 0, 26, 2, 26, 16, 26, 18, 19, 26, 26, 26, 26, 20, 21, 21, 26, 26, 26, 26, 26, 26, 14, 18, 26]"
8,"[""Once"", ""the"", ""LOWBALL"", ""malware"", ""calls"", ""back"", ""to"", ""the"", ""Dropbox"", ""account"", "","", ""the"", ""admin@338"", ""will"", ""create"", ""a"", ""file"", ""called"", ""upload.bat"", ""which"", ""contains"", ""commands"", ""to"", ""be"", ""executed"", ""on"", ""the"", ""compromised"", ""computer"", "".""]","[26, 26, 8, 9, 26, 26, 26, 26, 26, 26, 26, 26, 0, 26, 26, 26, 26, 26, 4, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26]"
9,"[""We"", ""observed"", ""the"", ""admin@338"", ""upload"", ""a"", ""second"", ""stage"", ""malware"", "","", ""known"", ""as"", ""BUBBLEWRAP"", ""("", ""also"", ""known"", ""as"", ""Backdoor.APT.FakeWinHTTPHelper"", "")"", ""to"", ""their"", ""Dropbox"", ""account"", ""along"", ""with"", ""the"", ""following"", ""command"", "".""]","[26, 26, 26, 0, 26, 26, 26, 26, 26, 26, 26, 26, 8, 26, 26, 26, 26, 8, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26]"
10,"[""We"", ""have"", ""previously"", ""observed"", ""the"", ""admin@338"", ""group"", ""use"", ""BUBBLEWRAP"", "".""]","[26, 26, 26, 26, 26, 0, 1, 26, 8, 26]"
11,"[""The"", ""LOWBALL"", ""first"", ""stage"", ""malware"", ""allows"", ""the"", ""group"", ""to"", ""collect"", ""information"", ""from"", ""victims"", ""and"", ""then"", ""deliver"", ""the"", ""BUBBLEWRAP"", ""second"", ""stage"", ""malware"", ""to"", ""their"", ""victims"", ""after"", ""verifying"", ""that"", ""they"", ""are"", ""indeed"", ""interesting"", ""targets"", "".""]","[26, 8, 26, 26, 26, 26, 26, 0, 26, 24, 25, 26, 26, 26, 26, 26, 26, 8, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26]"
12,"[""The"", ""admin@338"", ""linked"", ""to"", ""China"", ""and"", ""alleged"", ""to"", ""be"", ""responsible"", ""for"", ""targeted"", ""attacks"", ""against"", ""foreign"", ""governments"", ""and"", ""ministries"", "","", ""has"", ""now"", ""pointed"", ""its"", ""focus"", ""inward"", ""at"", ""China"", ""autonomous"", ""territory"", ""Hong"", ""Kong"", "".""]","[26, 0, 26, 26, 14, 26, 26, 26, 26, 26, 26, 2, 3, 26, 26, 16, 26, 17, 26, 26, 26, 26, 26, 26, 26, 26, 14, 26, 26, 14, 15, 26]"
13,"[""An"", ""APT"", ""gang"", ""linked"", ""to"", ""China"", ""and"", ""alleged"", ""to"", ""be"", ""responsible"", ""for"", ""targeted"", ""attacks"", ""against"", ""foreign"", ""governments"", ""and"", ""ministries"", "","", ""has"", ""now"", ""pointed"", ""its"", ""focus"", ""inward"", ""at"", ""China"", ""autonomous"", ""territory"", ""Hong"", ""Kong"", "".""]","[26, 0, 0, 26, 26, 14, 26, 26, 26, 26, 26, 26, 2, 3, 26, 26, 16, 26, 17, 26, 26, 26, 26, 26, 26, 26, 26, 14, 26, 26, 14, 15, 26]"
14,"[""The"", ""group"", ""targeting"", ""Hong"", ""Kong"", ""media"", ""outlets"", ""is"", ""called"", ""admin@338"", ""and"", ""is"", ""known"", ""to"", ""researchers"", ""for"", ""using"", ""publicly"", ""available"", ""remote"", ""access"", ""Trojans"", ""such"", ""as"", ""Poison"", ""Ivy"", ""to"", ""attack"", ""government"", ""and"", ""financial"", ""firms"", ""specializing"", ""in"", ""global"", ""economic"", ""policy"", "".""]","[26, 0, 26, 14, 15, 16, 26, 26, 26, 0, 26, 26, 26, 26, 26, 26, 26, 26, 26, 8, 9, 9, 26, 26, 8, 9, 26, 26, 16, 26, 18, 19, 26, 26, 16, 17, 26, 26]"
15,"[""The"", ""agroup"", ""targeting"", ""Hong"", ""Kong"", ""media"", ""outlets"", ""is"", ""called"", ""admin@338"", ""and"", ""is"", ""known"", ""to"", ""researchers"", ""for"", ""using"", ""publicly"", ""available"", ""remote"", ""access"", ""Trojans"", ""such"", ""as"", ""Poison"", ""Ivy"", ""to"", ""attack"", ""government"", ""and"", ""financial"", ""firms"", ""specializing"", ""in"", ""global"", ""economic"", ""policy"", "".""]","[26, 0, 26, 14, 15, 16, 26, 26, 26, 0, 26, 26, 26, 26, 26, 26, 26, 26, 26, 8, 9, 9, 26, 26, 8, 9, 26, 26, 16, 26, 18, 19, 26, 26, 16, 17, 26, 26]"
16,"[""The"", ""admin@338"", "","", ""active"", ""since"", ""2008"", "","", ""has"", ""been"", ""seen"", ""targeting"", ""organizations"", ""in"", ""the"", ""financial"", ""services"", "","", ""telecoms"", "","", ""government"", "","", ""and"", ""defense"", ""sectors"", "".""]","[26, 0, 26, 26, 26, 10, 26, 26, 26, 26, 26, 26, 26, 26, 16, 17, 26, 16, 26, 16, 26, 26, 18, 19, 26]"
